tittle,imagesrc,head,cho,fat,pr,e460
"米饭","http://s.boohee.cn/house/upload_food/2020/5/27/small_photo_url_big_photo_url_f81e8de29f76e6d0c39d4142fe45764f.jpg","116.00","25.90","0.30","2.60","0.30"
"鲜玉米","http://s.boohee.cn/house/upload_food/2021/8/18/small_photo_url_b5f53dc1e9ce677c4d1499b163e07cb0.jpg","112.00","22.80","1.20","4.00","2.90"
"馒头","http://s.boohee.cn/house/upload_food/2021/8/18/small_photo_url_a84b162ef235725e2b96b4ea01db385c.jpg","223.00","47.00","1.10","7.00","1.30"
"燕麦片","http://s.boohee.cn/house/upload_food/2021/8/18/small_photo_url_b7579d0f5a211460e8d356a846033f77.jpg","338.00","77.40","0.20","10.10","6.00"
"煮面条","http://s.boohee.cn/house/upload_food/2020/5/21/small_photo_url_624e8d5b539ac82468c833efb110e3ee.jpg","107.00","22.80","0.40","3.90","0.00"
"小米粥","http://s.boohee.cn/house/upload_food/2020/6/20/small_photo_url_big_photo_url_ef353b12d4e89108a469f0a38dff4404.jpg","46.00","8.40","0.70","1.40","0.00"
"白粥","http://s.boohee.cn/house/upload_food/2020/6/4/small_photo_url_big_photo_url_5496722b20671a0388e5834b068e2ca2.jpg","46.00","9.90","0.30","1.10","0.10"
"油条","http://s.boohee.cn/house/upload_food/2020/6/18/small_photo_url_big_photo_url_552a534384ecbc8888f957067c13942f.jpg","388.00","51.00","17.60","6.90","0.90"
"稀饭","http://s.boohee.cn/house/upload_food/2020/6/4/small_photo_url_big_photo_url_5496722b20671a0388e5834b068e2ca2.jpg","59.00","13.40","0.20","1.30","0.00"
"花卷","http://s.boohee.cn/house/new_food/small/32fbb0ed557b4d388872c26bf93414d9.jpg","214.00","45.60","1.00","6.40","1.50"
"烤红薯","http://s.boohee.cn/house/upload_food/2020/5/14/small_photo_url_2db795fdd746779807e6a40c2d936ac6.jpg","90.00","20.71","0.15","2.01","3.30"
"包子(猪肉馅)","http://s.boohee.cn/house/upload_food/2020/5/19/small_photo_url_f0903e7f6a223a49e7b6d808c63de58d.jpg","227.00","30.30","10.00","7.30","1.70"
"面包","http://s.boohee.cn/house/upload_food/2020/6/5/small_photo_url_881c51c3c3434564d4afcd13b4158207.jpg","313.00","58.60","5.10","8.30","0.50"
"糯玉米","http://s.boohee.cn/house/upload_food/2020/5/23/small_photo_url_41db64c75060f1ceab5cf258b7144a79.jpg","172.00","33.40","1.90","4.70","3.50"
"麦片","http://s.boohee.cn/house/upload_food/2018/3/12/small_photo_url_401208dfc3204a2c93059e29aaf4976c.jpg","368.00","67.30","7.40","12.40","8.60"
"芋头","http://s.boohee.cn/house/upload_food/2020/5/21/small_photo_url_06c2cf309ec89aa842353316bec13f8b.jpg","56.00","12.70","0.20","1.30","1.00"
"煮芋头","http://s.boohee.cn/house/upload_food/2020/6/18/small_photo_url_big_photo_url_fe21362595521dfc651259593f7bf319.jpg","60.00","13.00","0.10","2.90","0.30"
"水果玉米","http://s.boohee.cn/house/upload_food/2020/6/22/small_photo_url_cd958b6a7048107aeb001c70ddab0ea2.jpg","105.00","17.50","2.60","3.10","4.00"
"饺子","http://s.boohee.cn/house/new_food/small/85d277a58f984eac879dca780d229a4c.jpg","240.00","26.60","12.30","8.80","3.20"
"山药","http://s.boohee.cn/house/upload_food/2020/6/15/small_photo_url_1375f83208b5eb78e9b029e7ac9f9043.jpg","57.00","12.40","0.20","1.90","0.80"
"桂格 即食燕麦片(经典原味)","http://s.boohee.cn/house/upload_food/2021/11/15/s_113795d0a057e414987723d460be60a9.jpg","395.79","60.50","9.30","11.00","12.00"
"大米","http://s.boohee.cn/house/new_food/small/3e01a32158e941ccb328d808d6955684.jpg","346.00","77.20","0.90","7.90","0.60"
"珍珠玉米","http://s.boohee.cn/house/upload_food/2020/6/22/small_photo_url_big_photo_url_f4af2fa477558c55b1b184fa29a8cdde.jpg","66.00","11.40","0.60","3.40","3.70"
"炒饭","http://s.boohee.cn/house/upload_food/2020/6/12/small_photo_url_63a319969f7cc92016cb52f951463003.jpg","188.00","31.70","5.60","5.00","2.00"
"方便面","http://s.boohee.cn/house/new_food/small/7218014cd15444d5ac45d38fd4e68f84.jpg","473.00","61.60","21.10","9.50","0.70"
"甜玉米","http://s.boohee.cn/house/upload_food/2019/3/4/small_photo_url_45ca9114e17ea46ff8a7bad10cd1570d.jpg","107.00","17.80","2.50","3.30","4.70"
"面包世家 全麦欧包","http://s.boohee.cn/house/upload_food/2021/10/12/s_f4b99b5f9908dda9b839d90bf3e163b4.jpg","177.34","31.30","0.00","14.20","15.80"
"蒸土豆","http://s.boohee.cn/house/upload_food/2020/6/17/small_photo_url_7448785bdda657d69cdde4398e13ec03.jpg","69.00","15.30","0.00","3.00","0.20"
"面条(生)","http://s.boohee.cn/house/upload_food/2019/1/9/small_photo_url_6adfea0c6beac823c67161ff5a673b3e.jpg","301.00","65.60","0.60","8.90","0.80"
"饺子/馄饨(半荤)","http://s.boohee.cn/house/new_food/small/520b3ee1c8bb4bb18931925e295b485a.jpg","223.00","31.10","9.10","7.30","3.20"
"饺子/馄饨(荤馅)","http://s.boohee.cn/house/new_food/small/776a6cfbbe0e474abb206f2b8cc880a7.jpg","267.00","23.80","15.40","10.00","1.10"
"麦当劳 双层吉士汉堡","http://s.boohee.cn/house/upload_food/2018/12/11/small_photo_url_d404b22d4a456fb962f2077861210df3.jpg","275.00","21.00","13.60","16.30","0.00"
"意大利面(通心粉)","http://s.boohee.cn/house/upload_food/2020/5/23/small_photo_url_7953f9e78bc67edf0ed01bc7b3ca30ab.jpg","351.00","75.80","0.10","11.90","0.40"
