userid,tittle,grade
129,"米饭",3
34,"米饭",2
89,"米饭",2
20,"米饭",0
55,"米饭",1
75,"米饭",2
76,"米饭",0
56,"米饭",2
12,"米饭",3
28,"米饭",0
37,"米饭",4
10,"米饭",5
72,"鲜玉米",0
149,"鲜玉米",0
188,"鲜玉米",1
284,"鲜玉米",4
274,"鲜玉米",2
109,"鲜玉米",4
278,"鲜玉米",0
256,"鲜玉米",3
265,"鲜玉米",3
243,"鲜玉米",1
126,"鲜玉米",1
143,"鲜玉米",0
46,"鲜玉米",1
142,"鲜玉米",3
81,"鲜玉米",0
45,"鲜玉米",1
130,"鲜玉米",3
177,"鲜玉米",2
195,"鲜玉米",3
65,"鲜玉米",0
6,"鲜玉米",0
229,"鲜玉米",2
115,"鲜玉米",1
156,"鲜玉米",1
82,"鲜玉米",3
56,"鲜玉米",2
170,"鲜玉米",3
260,"鲜玉米",4
162,"鲜玉米",3
103,"鲜玉米",3
68,"鲜玉米",3
118,"鲜玉米",4
28,"鲜玉米",0
42,"鲜玉米",0
146,"鲜玉米",4
234,"鲜玉米",0
59,"鲜玉米",4
27,"馒头",3
59,"馒头",4
58,"馒头",3
6,"馒头",5
116,"馒头",1
239,"馒头",4
72,"馒头",0
290,"馒头",0
119,"馒头",1
5,"馒头",3
49,"馒头",3
284,"馒头",2
21,"馒头",2
38,"馒头",1
288,"馒头",0
98,"馒头",4
71,"馒头",1
285,"馒头",2
193,"馒头",3
242,"馒头",3
61,"馒头",5
186,"馒头",0
214,"馒头",5
200,"馒头",3
275,"馒头",5
261,"馒头",5
277,"馒头",0
225,"馒头",2
292,"馒头",4
232,"馒头",4
203,"馒头",1
209,"馒头",4
163,"馒头",4
184,"馒头",5
24,"馒头",0
144,"馒头",2
122,"馒头",2
223,"馒头",4
227,"馒头",2
97,"馒头",1
19,"馒头",2
151,"馒头",5
33,"燕麦片",0
5,"燕麦片",2
16,"燕麦片",5
82,"燕麦片",2
156,"燕麦片",2
81,"燕麦片",0
263,"燕麦片",4
183,"燕麦片",2
295,"燕麦片",5
249,"燕麦片",1
14,"燕麦片",1
237,"燕麦片",3
177,"燕麦片",2
51,"燕麦片",1
157,"燕麦片",0
216,"燕麦片",5
281,"燕麦片",2
182,"燕麦片",1
11,"燕麦片",3
154,"燕麦片",4
180,"燕麦片",3
147,"燕麦片",3
100,"燕麦片",1
165,"燕麦片",1
186,"燕麦片",0
248,"燕麦片",5
196,"燕麦片",4
98,"燕麦片",0
179,"燕麦片",4
117,"煮面条",4
221,"煮面条",0
61,"煮面条",0
123,"煮面条",2
118,"煮面条",5
253,"煮面条",4
271,"煮面条",4
245,"煮面条",3
220,"煮面条",3
210,"煮面条",0
281,"煮面条",4
275,"煮面条",2
46,"煮面条",1
214,"煮面条",0
286,"煮面条",3
194,"煮面条",1
33,"煮面条",0
249,"煮面条",3
56,"煮面条",5
201,"煮面条",1
121,"煮面条",3
155,"煮面条",0
199,"煮面条",2
218,"煮面条",5
264,"煮面条",4
48,"煮面条",5
31,"煮面条",4
2,"煮面条",4
49,"煮面条",0
41,"煮面条",3
21,"煮面条",2
267,"煮面条",1
184,"煮面条",4
57,"煮面条",4
256,"煮面条",1
69,"煮面条",2
106,"煮面条",0
232,"煮面条",5
191,"煮面条",4
83,"煮面条",3
138,"煮面条",5
237,"煮面条",5
88,"煮面条",2
272,"煮面条",3
248,"煮面条",5
92,"煮面条",1
200,"煮面条",2
193,"煮面条",1
52,"煮面条",4
195,"煮面条",3
168,"小米粥",0
250,"小米粥",5
20,"小米粥",1
137,"小米粥",0
261,"小米粥",5
271,"小米粥",5
92,"小米粥",4
260,"小米粥",5
295,"小米粥",0
120,"小米粥",4
107,"小米粥",4
86,"小米粥",3
180,"小米粥",1
51,"小米粥",4
140,"小米粥",0
219,"小米粥",5
117,"小米粥",3
204,"小米粥",5
222,"小米粥",5
110,"小米粥",3
239,"小米粥",1
288,"小米粥",2
26,"小米粥",0
245,"小米粥",2
281,"小米粥",5
142,"小米粥",0
162,"小米粥",5
76,"小米粥",5
191,"小米粥",4
247,"小米粥",5
155,"小米粥",4
230,"小米粥",1
112,"小米粥",2
278,"小米粥",2
283,"小米粥",0
176,"小米粥",0
13,"小米粥",0
258,"小米粥",4
78,"小米粥",5
99,"小米粥",0
22,"小米粥",0
209,"小米粥",4
114,"小米粥",5
241,"小米粥",2
197,"小米粥",1
18,"小米粥",5
67,"白粥",1
103,"白粥",5
117,"白粥",0
10,"白粥",3
265,"白粥",3
100,"白粥",2
91,"白粥",2
154,"白粥",3
137,"白粥",2
290,"白粥",0
2,"白粥",4
139,"白粥",4
279,"白粥",1
62,"白粥",3
64,"白粥",5
203,"白粥",5
289,"白粥",5
231,"白粥",4
189,"白粥",0
272,"白粥",3
274,"白粥",5
49,"白粥",2
46,"白粥",0
293,"白粥",5
218,"白粥",4
125,"油条",0
176,"油条",2
7,"油条",5
97,"油条",2
183,"油条",4
202,"油条",5
145,"油条",4
21,"油条",0
218,"油条",5
252,"油条",5
2,"油条",1
156,"油条",4
36,"油条",1
173,"油条",4
19,"油条",2
136,"油条",5
215,"油条",3
290,"油条",2
245,"油条",2
189,"油条",2
86,"稀饭",4
225,"稀饭",1
7,"稀饭",1
191,"稀饭",0
15,"稀饭",3
279,"稀饭",5
83,"稀饭",0
91,"稀饭",0
238,"稀饭",1
85,"稀饭",1
180,"稀饭",5
270,"稀饭",5
298,"稀饭",1
115,"稀饭",2
219,"稀饭",0
99,"稀饭",0
153,"稀饭",5
52,"稀饭",2
122,"稀饭",4
35,"稀饭",2
248,"稀饭",1
177,"稀饭",5
252,"稀饭",5
284,"稀饭",1
116,"稀饭",2
213,"稀饭",4
106,"花卷",4
26,"花卷",3
39,"花卷",2
92,"花卷",0
215,"花卷",2
86,"花卷",3
154,"花卷",5
285,"花卷",5
78,"花卷",0
99,"花卷",2
266,"花卷",4
262,"花卷",1
223,"花卷",5
143,"花卷",2
217,"花卷",3
160,"花卷",2
192,"花卷",2
21,"花卷",4
32,"包子(猪肉馅)",4
181,"包子(猪肉馅)",4
165,"包子(猪肉馅)",2
73,"包子(猪肉馅)",4
21,"包子(猪肉馅)",2
17,"包子(猪肉馅)",5
22,"包子(猪肉馅)",4
202,"包子(猪肉馅)",4
3,"包子(猪肉馅)",1
122,"包子(猪肉馅)",4
147,"包子(猪肉馅)",0
179,"包子(猪肉馅)",3
87,"包子(猪肉馅)",1
228,"包子(猪肉馅)",1
298,"包子(猪肉馅)",4
171,"包子(猪肉馅)",5
242,"包子(猪肉馅)",4
109,"包子(猪肉馅)",2
261,"包子(猪肉馅)",4
183,"包子(猪肉馅)",3
189,"包子(猪肉馅)",4
177,"包子(猪肉馅)",1
4,"包子(猪肉馅)",5
180,"面包",5
3,"面包",3
224,"面包",1
28,"面包",2
41,"面包",2
123,"面包",3
274,"面包",1
106,"面包",1
140,"面包",0
88,"面包",2
204,"面包",1
138,"糯玉米",1
130,"糯玉米",5
226,"糯玉米",3
136,"糯玉米",0
86,"糯玉米",1
241,"糯玉米",0
191,"糯玉米",1
179,"糯玉米",2
279,"糯玉米",4
201,"糯玉米",1
76,"糯玉米",5
92,"糯玉米",1
189,"糯玉米",2
210,"糯玉米",2
2,"糯玉米",2
199,"糯玉米",1
148,"糯玉米",4
74,"糯玉米",5
291,"糯玉米",2
294,"糯玉米",1
13,"糯玉米",3
263,"糯玉米",0
